2024-03-21 12:58:33 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 242
2024-03-21 13:18:32 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 270
2024-03-21 13:18:32 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 270
2024-03-21 13:19:20 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 270
2024-03-21 13:19:20 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 270
2024-03-22 14:32:10 - PHP Warning:  Undefined array key "entity_description" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 270
2024-03-22 14:32:10 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 270
2024-03-22 14:32:10 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:32:10 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:37:13 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 275
2024-03-22 14:37:13 - PHP Unknown:  mb_strlen(): Passing null to parameter #1 ($string) of type string is deprecated in D:\xampp\htdocs\vaza\upload\system\helper\utf8.php on line 6
2024-03-22 14:37:13 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 276
2024-03-22 14:37:13 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:37:13 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:37:33 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 275
2024-03-22 14:37:33 - PHP Unknown:  mb_strlen(): Passing null to parameter #1 ($string) of type string is deprecated in D:\xampp\htdocs\vaza\upload\system\helper\utf8.php on line 6
